parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,top1_scalar_loto,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,top1_text_loto,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,top1_combined_loto,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,oracle_top1,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,all_escalate,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,full_external,2,2,0,1.0,0.0,2.0,81.3,130.7270479425788,130.7270479425788,130.7270479425788
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,random_expected,2,0,2,0.5,0.017335000000000045,1.0,129.4,879.9492094516754,569.3746047258377,449.3746047258377
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,stdout_tfidf,2,0,2,0.0,0.03467000000000009,1.0,129.4,879.9492094516754,502.5112003326416,382.5112003326416
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,2,0,2,1.0,0.0,1.0,129.4,879.9492094516754,636.2380091190338,516.2380091190338
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,2,0,2,1.0,0.0,1.0,129.4,879.9492094516754,636.2380091190338,516.2380091190338
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,2,0,2,1.0,0.0,1.0,129.4,879.9492094516754,636.2380091190338,516.2380091190338
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_scalar_loto,2,0,2,0.0,0.03467000000000009,1.0,129.4,879.9492094516754,502.5112003326416,382.5112003326416
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_text_loto,2,0,2,0.0,0.03467000000000009,1.0,129.4,879.9492094516754,502.5112003326416,382.5112003326416
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_combined_loto,2,0,2,0.0,0.03467000000000009,1.0,129.4,879.9492094516754,502.5112003326416,382.5112003326416
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,oracle_top1,2,0,2,1.0,0.0,1.0,129.4,879.9492094516754,636.2380091190338,516.2380091190338
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,all_escalate,2,0,2,1.0,0.0,2.0,129.4,879.9492094516754,1009.3492094516754,769.3492094516754
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,full_external,2,0,2,1.0,0.0,2.0,129.4,879.9492094516754,879.9492094516754,879.9492094516754
