split,subset,task,pair_unweighted_accuracy,pair_gap_weighted_accuracy,component_gain_capture,component_top1_accuracy,component_normalized_regret
test,merged,ventilator-pressure-prediction,0.4666666666666667,0.8997113199747195,0.8963745691345014,0.5454545454545454,0.10362543086549866
test,merged,whale-categorization-playground,0.59375,0.5959651009215752,0.2390811110794755,0.6071428571428571,0.7609188889205246
test,Draft,aptos2019-blindness-detection,1.0,1.0,1.0,1.0,0.0
test,Draft,cassava-leaf-disease-classification,0.0,0.0,-0.9999999999999999,0.0,2.0
test,Draft,chaii-hindi-and-tamil-question-answering,0.45454545454545453,0.3902847943645937,0.06605207389384032,0.0,0.9339479261061597
test,Draft,denoising-dirty-documents,0.2857142857142857,0.4543446682353741,0.4773891271474256,0.6666666666666666,0.5226108728525743
test,Draft,dog-breed-identification,0.52,0.6785951586334305,0.558852192884488,0.42857142857142855,0.44114780711551194
test,Draft,dogs-vs-cats-redux-kernels-edition,0.8333333333333334,0.8329869845783658,0.2699228791773778,0.3333333333333333,0.7300771208226223
test,Draft,facebook-recruiting-iii-keyword-extraction,0.0,0.0,-0.9999999999999983,0.0,1.9999999999999984
test,Draft,google-quest-challenge,0.75,0.6491047801362536,0.830396222068648,0.5,0.16960377793135198
test,Draft,histopathologic-cancer-detection,0.0,0.0,-2.927770809691613,0.0,3.927770809691613
test,Draft,kuzushiji-recognition,1.0,1.0,1.0,1.0,0.0
test,Draft,leaf-classification,0.5,0.5658059763245307,0.21818321100309915,0.5,0.7818167889969009
test,Draft,learning-agency-lab-automated-essay-scoring-2,0.65,0.5987690066126201,-0.3912623190823581,0.5,1.3912623190823579
test,Draft,mlsp-2013-birds,0.36,0.3749065359734334,-0.3024735877206998,0.4,1.3024735877206999
test,Draft,new-york-city-taxi-fare-prediction,0.45454545454545453,0.3536992472527869,0.5318940032276032,0.5,0.46810599677239684
test,Draft,nomad2018-predict-transparent-conductors,0.6538461538461539,0.7611574621939688,0.7598666462663372,0.0,0.2401333537336628
test,Draft,petfinder-pawpularity-score,0.68,0.7531300746605684,0.6273974765070353,0.4,0.37260252349296474
test,Draft,random-acts-of-pizza,0.2857142857142857,0.25872416696086664,0.37082970481366817,0.5,0.6291702951863318
test,Draft,ranzcr-clip-catheter-line-classification,0.5,0.29811538620149275,-0.6442302780568391,0.4,1.644230278056839
test,Draft,spooky-author-identification,0.8125,0.8668354555650855,0.8464228471513915,0.5714285714285714,0.15357715284860846
test,Draft,tabular-playground-series-dec-2021,1.0,1.0,1.0,1.0,0.0
test,Draft,tabular-playground-series-may-2022,0.5555555555555556,0.6544925971535733,0.13449201454936527,0.5,0.8655079854506347
test,Draft,text-normalization-challenge-english-language,0.75,0.6750072011521843,0.983067334366106,0.6666666666666666,0.01693266563389391
test,Draft,text-normalization-challenge-russian-language,0.7692307692307693,0.7575813702345672,1.0,1.0,0.0
test,Draft,tgs-salt-identification-challenge,1.0,1.0,1.0,1.0,0.0
test,Draft,tweet-sentiment-extraction,0.8,0.8074891010161581,0.4302194507734741,0.6666666666666666,0.5697805492265259
test,Draft,us-patent-phrase-to-phrase-matching,0.9,0.95099696807562,0.5844839319470697,0.75,0.41551606805293023
test,Draft,ventilator-pressure-prediction,0.3,0.06874437566151544,-1.720559859254846,0.5,2.720559859254846
test,Draft,whale-categorization-playground,0.375,0.35385427849153306,-0.40733568539888454,0.25,1.4073356853988848
test,Improve,aptos2019-blindness-detection,0.5555555555555556,0.5337842725891631,0.0675685451783253,0.5555555555555556,0.9324314548216747
test,Improve,chaii-hindi-and-tamil-question-answering,0.5161290322580645,0.5919649870946022,-0.5089917158250474,0.0625,1.5089917158250474
test,Improve,denoising-dirty-documents,0.6764705882352942,0.5788650574602916,0.15773011492058317,0.6764705882352942,0.8422698850794166
test,Improve,dog-breed-identification,0.6,0.5907220092062333,0.1814440184124669,0.6,0.8185559815875332
test,Improve,dogs-vs-cats-redux-kernels-edition,0.3333333333333333,0.24984294150570546,-0.500314116988589,0.3333333333333333,1.5003141169885887
test,Improve,facebook-recruiting-iii-keyword-extraction,0.5714285714285714,0.5272642171776268,0.054528434355253765,0.5714285714285714,0.9454715656447462
test,Improve,google-quest-challenge,0.5,0.5849837954627297,0.16996759092545918,0.5,0.8300324090745407
test,Improve,histopathologic-cancer-detection,0.6666666666666666,0.9767691612028037,0.9535383224056072,0.6666666666666666,0.04646167759439277
test,Improve,kuzushiji-recognition,1.0,1.0,1.0,1.0,0.0
test,Improve,leaf-classification,0.5121951219512195,0.6158892275542778,0.1785753691893947,0.44,0.8214246308106056
test,Improve,learning-agency-lab-automated-essay-scoring-2,0.5333333333333333,0.3896139807543414,-0.1048805652826412,0.5384615384615384,1.1048805652826412
