parent,run_id,task,stratum,policy,n_children,n_winners,n_artifact_scored,n_artifact_exists,kept_n,pruned_n,kept_ids,pruned_ids,any_winner_survival,winner_fraction_survival,structured_random_any_winner,structured_random_winner_fraction,kept_fraction,full_runtime_s,probe_wall_s,pruned_full_runtime_s,avoidable_tail_s,restart_cost_ratio,ideal_resume_cost_ratio
google-quest-challenge__54d5e9cda21a4099a4d5c8a5900b642d,cards_senior_0731.jsonl:8,google-quest-challenge,hard,observed_only,2,1,0,0,2,0,google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4|google-quest-challenge__af65cdfcccea47739bbbd7014fb7f5d6,,1.0,1.0,,,1.0,11458.130039536976,240.4,0,0,1.0209807358766645,1.0
google-quest-challenge__54d5e9cda21a4099a4d5c8a5900b642d,cards_senior_0731.jsonl:8,google-quest-challenge,hard,censor_aware,2,1,0,0,2,0,google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4|google-quest-challenge__af65cdfcccea47739bbbd7014fb7f5d6,,1.0,1.0,1.0,1.0,1.0,11458.130039536976,240.4,0,0,1.0209807358766645,1.0
google-quest-challenge__59d05421af854a3ebf13a049f852fca7,cards_senior_0731.jsonl:8,google-quest-challenge,easy,full_continue,2,1,1,1,2,0,google-quest-challenge__6ba46794dff84b4aa036ddff694451c2|google-quest-challenge__d18100348572434fbfa74d3d01008623,,1.0,1.0,,,1.0,4621.799937464006,160.9,0,0,1.0348132766837774,1.0
google-quest-challenge__59d05421af854a3ebf13a049f852fca7,cards_senior_0731.jsonl:8,google-quest-challenge,easy,observed_only,2,1,1,1,1,1,google-quest-challenge__6ba46794dff84b4aa036ddff694451c2,google-quest-challenge__d18100348572434fbfa74d3d01008623,0.0,0.0,,,0.5,4621.799937464006,160.9,4600.380839613004,4480.080839613004,0.03944763951661664,0.030663183125309204
google-quest-challenge__59d05421af854a3ebf13a049f852fca7,cards_senior_0731.jsonl:8,google-quest-challenge,easy,censor_aware,2,1,1,1,2,0,google-quest-challenge__6ba46794dff84b4aa036ddff694451c2|google-quest-challenge__d18100348572434fbfa74d3d01008623,,1.0,1.0,1.0,1.0,1.0,4621.799937464006,160.9,0,0,1.0348132766837774,1.0
google-quest-challenge__5bbb739e789e4195ab45d5c9d9e4ef0e,cards_senior_0731.jsonl:8,google-quest-challenge,easy,full_continue,2,1,1,1,2,0,google-quest-challenge__b0136f10f1e34af1bea8d3b95494444d|google-quest-challenge__c0db78dfced24417a26a9268ac68ca83,,1.0,1.0,,,1.0,774.2440649799828,163.3,0,0,1.2109154043101666,1.0
google-quest-challenge__5bbb739e789e4195ab45d5c9d9e4ef0e,cards_senior_0731.jsonl:8,google-quest-challenge,easy,observed_only,2,1,1,1,1,1,google-quest-challenge__c0db78dfced24417a26a9268ac68ca83,google-quest-challenge__b0136f10f1e34af1bea8d3b95494444d,0.0,0.0,,,0.5,774.2440649799828,163.3,736.4574767790036,616.1574767790037,0.25971989621409375,0.20418185343799353
google-quest-challenge__5bbb739e789e4195ab45d5c9d9e4ef0e,cards_senior_0731.jsonl:8,google-quest-challenge,easy,censor_aware,2,1,1,1,2,0,google-quest-challenge__b0136f10f1e34af1bea8d3b95494444d|google-quest-challenge__c0db78dfced24417a26a9268ac68ca83,,1.0,1.0,1.0,1.0,1.0,774.2440649799828,163.3,0,0,1.2109154043101666,1.0
google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4,cards_senior_0731.jsonl:8,google-quest-challenge,hard,full_continue,2,1,0,0,2,0,google-quest-challenge__0f314d3d03ab4226be148679544edf63|google-quest-challenge__43f44abea2d04a8e993bbcf60a6646d7,,1.0,1.0,,,1.0,9685.27632703996,240.3,0,0,1.0248108563850795,1.0
google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4,cards_senior_0731.jsonl:8,google-quest-challenge,hard,observed_only,2,1,0,0,2,0,google-quest-challenge__0f314d3d03ab4226be148679544edf63|google-quest-challenge__43f44abea2d04a8e993bbcf60a6646d7,,1.0,1.0,,,1.0,9685.27632703996,240.3,0,0,1.0248108563850795,1.0
