parent,run_id,task,stratum,policy,n_children,n_artifact,n_silent,n_escalated,n_pruned,top1_expected,raw_regret,deployed_available,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,unanimous3_gate,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_random,3,0,3,1,2,0.0,0.019979999999999998,1,0.5619,0.58188,-0.019979999999999998,0.0,0.0,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_tfidf,3,0,3,1,2,0.0,0.019979999999999998,1,0.5619,0.58188,-0.019979999999999998,0.0,0.0,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_majority3,3,0,3,1,2,0.0,0.011849999999999916,1,0.57003,0.58188,-0.011849999999999916,0.0,0.0,1.0,136.4,6553.884172439575,2657.284269952774,2537.284269952774
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_stdout,3,0,3,1,2,0.0,0.019979999999999998,1,0.5619,0.58188,-0.019979999999999998,0.0,0.0,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_progress,3,0,3,1,2,0.0,0.011849999999999916,1,0.57003,0.58188,-0.011849999999999916,0.0,0.0,1.0,136.4,6553.884172439575,2657.284269952774,2537.284269952774
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_stdout_tfidf,3,0,3,1,2,0.0,0.019979999999999998,1,0.5619,0.58188,-0.019979999999999998,0.0,0.0,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_oracle,3,0,3,1,2,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,2154.0118354797364,2034.0118354797364
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top2_random,3,0,3,2,1,0.0,0.011849999999999916,1,0.57003,0.58188,-0.011849999999999916,0.0,0.0,1.0,136.4,6553.884172439575,4672.6723369598385,4432.6723369598385
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top2_tfidf,3,0,3,2,1,0.0,0.011849999999999916,1,0.57003,0.58188,-0.011849999999999916,0.0,0.0,1.0,136.4,6553.884172439575,4672.6723369598385,4432.6723369598385
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top2_oracle,3,0,3,2,1,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,4674.89610543251,4434.89610543251
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,oracle_gate,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,full_external,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6553.884172439575,6553.884172439575
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,artifact_only,3,0,3,0,3,0.3333333333333333,0.01686333333333334,0,nan,0.57336,nan,0.0,0.0,1.0,175.8,1590.8876776695251,175.8,175.8
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,all_escalate,3,0,3,3,0,1.0,0.0,1,0.57336,0.57336,0.0,1.0,0.0,0.0,175.8,1590.8876776695251,1766.687677669525,1406.687677669525
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,random_gate,3,0,3,3,0,1.0,0.0,1,0.57336,0.57336,0.0,1.0,0.0,0.0,175.8,1590.8876776695251,1766.687677669525,1406.687677669525
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,tfidf_gate,3,0,3,3,0,1.0,0.0,1,0.57336,0.57336,0.0,1.0,0.0,0.0,175.8,1590.8876776695251,1766.687677669525,1406.687677669525
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,majority3_gate,3,0,3,3,0,1.0,0.0,1,0.57336,0.57336,0.0,1.0,0.0,0.0,175.8,1590.8876776695251,1766.687677669525,1406.687677669525
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,unanimous3_gate,3,0,3,3,0,1.0,0.0,1,0.57336,0.57336,0.0,1.0,0.0,0.0,175.8,1590.8876776695251,1766.687677669525,1406.687677669525
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,top1_random,3,0,3,1,2,0.0,0.011009999999999964,1,0.56235,0.57336,-0.011009999999999964,0.0,0.0,1.0,175.8,1590.8876776695251,825.5564013004303,705.5564013004303
